,N,M,params,score
47,2000,300,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 300, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 5000}",0.4034387473134787
48,2500,50,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 50, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 500}",0.36720908811789993
49,2500,50,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 50, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 1000}",0.3619895609456555
50,2500,50,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 50, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 5000}",0.35738409579367514
51,2500,100,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 100, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 500}",0.407430150445195
52,2500,100,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 100, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 1000}",0.4000614062020264
53,2500,100,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 100, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 5000}",0.38378876266502915
54,2500,200,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 200, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 500}",0.42922935216456864
55,2500,200,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 200, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 1000}",0.4243168560024562
56,2500,200,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 200, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 5000}",0.40497390236413877
57,2500,300,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 300, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 500}",0.4421246545901136
58,2500,300,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 300, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 1000}",0.4316856002456248
59,2500,300,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 300, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 5000}",0.4114215535769113
60,5000,50,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 50, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 500}",0.39668406509057413
61,5000,50,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 50, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 1000}",0.394841879029782
62,5000,50,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 50, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 5000}",0.39361375498925394
63,5000,100,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 100, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 500}",0.44151059256984954
64,5000,100,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 100, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 1000}",0.4408965305495855
65,5000,100,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 100, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 5000}",0.44151059256984954
66,5000,200,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 200, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 500}",0.46822229045133557
67,5000,200,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 200, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 1000}",0.47712618974516424
68,5000,200,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 200, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 5000}",0.4657660423702794
69,5000,300,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 300, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 500}",0.49032852318084125
70,5000,300,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 300, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 1000}",0.48725821307952105
71,5000,300,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 300, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 5000}",0.48081056186674853
72,10000,50,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 50, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 500}",0.3997543751918944
73,10000,50,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 50, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 1000}",0.40835124347559104
74,10000,50,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 50, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 5000}",0.4166410807491557
75,10000,100,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 100, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 500}",0.48326680994780474
76,10000,100,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 100, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 1000}",0.4949339883328216
77,10000,100,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 100, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 5000}",0.4933988332821615
78,10000,200,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 200, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 500}",0.5194964691433834
79,10000,200,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 200, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 1000}",0.525944120356156
80,10000,200,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 200, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 5000}",0.5290144304574762
81,10000,300,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 300, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 500}",0.5373042677310408
82,10000,300,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 300, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 1000}",0.5459011360147374
83,10000,300,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 300, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 5000}",0.5449800429843414
